Deutch,English
der Mann,Man
die Frau,Woman
das Mädchen,Girl
ich,I
du,You
Sie,You (formal)
er,He
es,It
sie,She/They
wir,We
ihr,You
das Wasser,Water
das Brot,Bread
die Milch,Milk
trinken,Drink
essen,Eat
die Apfel,Apple
hallo,Hello
ja,Yes
nein,No
bitte,Please
danke,Thanks
auf wiedersehen,Goodbye
entschuldigung,Excuse me
haben,to have
brauchen,to need
lesen,to read
schlafen,to sleep
lernen,to learn
schwimmen,to swim
spielen,to play
fragen,to ask
antworten,to answer
gehen,to go
wo,Where
wie,How
gut,Good
das Buch,Book
Willkommen,Welcome
richtig,Correct
nie,Never
Essen,Food
das Frühstück,Breakfast
das Mittagessen,Lunch
das Abendessen,Dinner
der Hund,Dog
die Katze,Cat
das Tier,Animal
wichtig,Important
interessant,Interesting